area, url, browserDetection, cssprefixes, edge, jslibs, pluginfree
USA, http://lowes.com, 0, 1, 1, 0, 1
USA, http://tripadvisor.com, 0, 0, 1, 1, 1
USA, http://immobilienscout24.de, 1, 0, 1, 1, 1
USA, http://people.com, 0, 1, 0, 1, 1
USA, http://alibaba.com, 1, 0, 1, 1, 1
USA, http://twc.com, 0, 1, 0, 0, 1
USA, http://abcmouse.com, 0, 1, 1, 1, 1
USA, http://garmin.com, 0, 0, 0, 1, 1
USA, http://newsnow.co.uk, 0, 0, 1, 0, 1
USA, http://facebook.com, 1, 1, 0, 1, 1
USA, http://chaturbate.com, 0, 1, 1, 1, 1
USA, http://dba.dk, 1, 1, 1, 0, 1
USA, http://tple.co.kr, 1, 1, 0, 1, 1
USA, http://ebay.com, 0, 1, 1, 1, 1
USA, http://bbc.com, 1, 1, 1, 1, 1
USA, http://answers.com, 1, 1, 1, 1, 1
USA, http://ebay.co.uk, 0, 1, 1, 0, 1
USA, http://ebay.com.au, 0, 1, 1, 0, 1
USA, http://nfl.com, 0, 1, 1, 1, 1
USA, http://imgur.com, 0, 0, 1, 1, 1
USA, http://new.livejasmin.com, 1, 1, 1, 0, 1
USA, http://hsn.com, 0, 1, 1, 0, 1
USA, http://dropbox.com, 1, 1, 1, 1, 1
USA, http://force.com, 0, 1, 1, 1, 1
USA, http://ebay.de, 0, 1, 1, 0, 1
USA, http://4399.com, 0, 1, 0, 0, 1
USA, http://nytimes.com, 1, 0, 1, 0, 1
USA, http://trademe.co.nz, 0, 1, 1, 1, 1
USA, http://aol.com, 0, 1, 1, 1, 1
USA, http://realtor.com, 0, 1, 0, 0, 1
USA, http://jw.org, 1, 1, 1, 1, 1
USA, http://bleacherreport.com, 0, 1, 0, 1, 1
USA, http://candidat.pole-emploi.fr, 1, 1, 1, 1, 1
USA, http://excite.co.jp, 0, 0, 1, 0, 1
USA, http://zhidao.baidu.com, 0, 1, 0, 1, 1
USA, http://haberturk.com, 0, 0, 1, 1, 1
USA, http://infoseek.co.jp, 0, 0, 1, 1, 1
USA, http://allegro.pl, 0, 1, 1, 1, 1
USA, http://santander.co.uk, 0, 0, 1, 1, 1
USA, http://taobao.com, 1, 0, 1, 1, 1
USA, http://accuweather.com, 0, 0, 1, 0, 1
USA, http://odnoklassniki.ru, 1, 1, 1, 1, 1
USA, http://charter.net, 1, 0, 1, 0, 1
USA, http://izlesene.com, 0, 1, 1, 0, 1
USA, http://ebay.ca, 0, 1, 1, 0, 1
USA, http://rediff.com, 0, 1, 1, 1, 1
USA, http://office.microsoft.com, 1, 1, 1, 1, 1
USA, http://wattpad.com, 1, 1, 1, 1, 1
USA, http://siteadvisor.com, 0, 0, 1, 0, 1
USA, http://autos.msn.com, 1, 1, 0, 1, 1
USA, http://eastmoney.com, 0, 0, 0, 1, 1
USA, http://priceline.com, 0, 1, 1, 0, 1
USA, http://overstock.com, 0, 0, 1, 0, 1
USA, http://autotrader.com, 1, 0, 1, 0, 1
USA, http://toysrus.com, 0, 0, 1, 0, 1
USA, http://startpagina.nl, 0, 1, 1, 1, 1
USA, http://att.com, 0, 0, 0, 0, 1
USA, http://foxsports.com, 0, 0, 1, 1, 1
USA, http://gumtree.com.au, 0, 1, 1, 1, 1
USA, http://vg.no, 0, 0, 1, 1, 1
USA, http://bluewin.ch, 0, 1, 1, 1, 1
USA, http://houzz.com, 1, 0, 1, 1, 1
USA, http://delfi.lt, 1, 1, 1, 1, 1
USA, http://windstream.net, 0, 1, 1, 1, 1
USA, http://love.mail.ru, 0, 0, 1, 0, 1
USA, http://mamba.ru, 1, 0, 1, 0, 1
USA, http://gamer.com.tw, 0, 0, 1, 1, 1
USA, http://8-d.com, 0, 1, 1, 1, 1
USA, http://gmx.net, 0, 0, 1, 1, 1
USA, http://yoox.com, 0, 0, 1, 1, 1
USA, http://news.mail.ru, 0, 1, 1, 1, 1
USA, http://yandex.com.tr, 0, 1, 1, 1, 1
USA, http://cdiscount.com, 0, 1, 1, 1, 1
USA, http://centurylink.net, 1, 0, 1, 0, 1
USA, http://walla.co.il, 0, 0, 1, 0, 1
USA, http://sabah.com.tr, 1, 0, 1, 1, 1
USA, http://spiegel.de, 0, 1, 1, 0, 1
USA, http://hln.be, 0, 0, 1, 1, 1
USA, http://tieba.baidu.com, 1, 0, 1, 0, 1
USA, http://mail.ru, 0, 0, 1, 1, 1
USA, http://windows.microsoft.com, 1, 0, 0, 0, 0
USA, http://windows.com, 1, 1, 0, 0, 0
USA, http://deviantart.com, 0, 0, 1, 0, 1
USA, http://nl.msn.com, 1, 1, 0, 1, 1
